N,E2_actual_ridge,inv_log2
10,0.15189910842218945,0.18861169701161398
15,0.11701690038831569,0.13635986988666526
20,0.07764125879726269,0.11142791485145642
25,0.08270490631258653,0.09651427522604929
30,0.06338420671723433,0.08644429323049818
