N,E2_actual,inv_log2
100,0.013521148465786892,0.04715292425290347
200,0.0006987130015246867,0.03562247271358196
500,1.5018746306272313e-05,0.025892411869841925
1000,8.692976573687616e-06,0.02095685522351266
