N,E2_bound_theoretical
10,0.18861169701161398
20,0.11142791485145642
30,0.08644429323049818
50,0.0653427186600492
100,0.047152924252903496
200,0.03562247271358196
300,0.03073789276101623
500,0.025892411869841925
1000,0.02095685522351266
2000,0.01730890846504534
3000,0.0156001563540987
5000,0.013785007397464796
10000,0.011788231063225874
